Identifier;Email;Country;Custom1;bool30TrueAdvancedRules;boolDefaultFalse;boolDefaultTrue;double25Pi25E25Gr25Zero;doubleDefaultPi;integer25One25Two25Three25FourAdvancedRules;integerDefaultOne;string25Cat25Dog25Falcon25Horse;string25Cat25Dog25Falcon25HorseAdvancedRules;string75Cat0Dog25Falcon0Horse;stringContainsDogDefaultCat;stringDefaultCat;stringIsInDogDefaultCat;stringIsNotInDogDefaultCat;stringNotContainsDogDefaultCat
##nouserobject##;;;;True;False;True;-1.0;3.1415;-1;1;Chicken;Chicken;Chicken;Cat;Cat;Cat;Cat;Cat
a@configcat.com;a@configcat.com;Hungary;admin;False;False;True;5.561;3.1415;5;1;Cat;Dolphin;Cat;Dog;Cat;Dog;Cat;Cat
b@configcat.com;b@configcat.com;Hungary;;False;False;True;5.561;3.1415;5;1;Cat;Dolphin;Cat;Dog;Cat;Dog;Cat;Cat
c@configcat.com;c@configcat.com;United Kingdom;admin;False;False;True;5.561;3.1415;5;1;Cat;Dolphin;Falcon;Dog;Cat;Dog;Dog;Cat
d@configcat.com;d@configcat.com;United Kingdom;;False;False;True;5.561;3.1415;5;1;Cat;Dolphin;Cat;Dog;Cat;Cat;Dog;Cat
e@configcat.com;e@configcat.com;United States of America;;False;False;True;5.561;3.1415;5;1;Dog;Kitten;Cat;Dog;Cat;Cat;Dog;Cat
f@configcat.com;f@configcat.com;;;False;False;True;5.561;3.1415;5;1;Cat;Kitten;Cat;Dog;Cat;Cat;Dog;Cat
g@configcat.com;g@configcat.com;;;False;False;True;5.561;3.1415;5;1;Cat;Kitten;Cat;Dog;Cat;Cat;Dog;Cat
h@configcat.com;h@configcat.com;;;False;False;True;5.561;3.1415;5;1;Falcon;Kitten;Cat;Dog;Cat;Cat;Dog;Cat
i@configcat.com;i@configcat.com;;admin;False;False;True;5.561;3.1415;5;1;Falcon;Lion;Cat;Dog;Cat;Dog;Dog;Cat
j@configcat.com;j@configcat.com;;;False;False;True;5.561;3.1415;5;1;Cat;Kitten;Cat;Dog;Cat;Cat;Dog;Cat
stern@msn.com;stern@msn.com;;;True;False;True;2.7182;3.1415;4;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
sarahs@yahoo.com;sarahs@yahoo.com;;;False;False;True;2.7182;3.1415;1;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
luebke@hotmail.com;luebke@hotmail.com;;;False;False;True;0.0;3.1415;1;1;Horse;Horse;Cat;Cat;Cat;Cat;Dog;Dog
padme@icloud.com;padme@icloud.com;;;True;False;True;3.1415;3.1415;1;1;Cat;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
claypool@aol.com;claypool@aol.com;;;False;False;True;1.61803;3.1415;2;1;Dog;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
bogjobber@verizon.net;bogjobber@verizon.net;;;True;False;True;2.7182;3.1415;2;1;Cat;Horse;Falcon;Cat;Cat;Cat;Dog;Dog
cliffordj@aol.com;cliffordj@aol.com;;;False;False;True;3.1415;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
bryanw@verizon.net;bryanw@verizon.net;;;False;False;True;2.7182;3.1415;2;1;Dog;Cat;Cat;Cat;Cat;Cat;Dog;Dog
jfmulder@sbcglobal.net;jfmulder@sbcglobal.net;;;False;False;True;0.0;3.1415;4;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
raines@live.com;raines@live.com;;;False;False;True;3.1415;3.1415;4;1;Falcon;Cat;Falcon;Cat;Cat;Cat;Dog;Dog
ribet@yahoo.ca;ribet@yahoo.ca;;;True;False;True;0.0;3.1415;2;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
nacho@gmail.com;nacho@gmail.com;;;False;False;True;3.1415;3.1415;3;1;Falcon;Falcon;Cat;Cat;Cat;Cat;Dog;Dog
sherzodr@att.net;sherzodr@att.net;;;False;False;True;2.7182;3.1415;4;1;Horse;Dog;Cat;Cat;Cat;Cat;Dog;Dog
oster@optonline.net;oster@optonline.net;;;True;False;True;2.7182;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
josem@icloud.com;josem@icloud.com;;;True;False;True;0.0;3.1415;1;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
hedwig@outlook.com;hedwig@outlook.com;;;False;False;True;3.1415;3.1415;2;1;Falcon;Dog;Cat;Cat;Cat;Cat;Dog;Dog
camenisch@yahoo.com;camenisch@yahoo.com;;;True;False;True;2.7182;3.1415;3;1;Horse;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
ccohen@comcast.net;ccohen@comcast.net;;;False;False;True;0.0;3.1415;3;1;Dog;Dog;Falcon;Cat;Cat;Cat;Dog;Dog
techie@att.net;techie@att.net;;;True;False;True;1.61803;3.1415;3;1;Cat;Dog;Cat;Cat;Cat;Cat;Dog;Dog
damian@gmail.com;damian@gmail.com;;;True;False;True;2.7182;3.1415;1;1;Falcon;Cat;Cat;Cat;Cat;Cat;Dog;Dog
